and we'll do that in a second .	我們也要做了 。
don't rub your eyes .	不錯 , 不錯 。
so here's the concept .	所以 , 不管的是 。
so you get the best of both worlds .	所以 , 我們也要做了 。
so these are my daughters .	今天 , 我會說: 「 噢 !
i want to be independent .	我也知道 , 不管 。
and i'll read you what it is .	我說: 「 不錯 。 」
that's what science is telling us .	不錯 , 不管 。
everybody is in a tizzy .	不管 , 很棒的 。
it's a thought . just a thought .	不錯 , 不錯 。
i'll give you a couple seconds .	我說: 「 嗯 ! 的 。
and really the numbers tell the story .	所以 , 不管的 。
so what does a climate model look like ?	我們能做什麼 ?
what story is this data telling you ?	「 嘿 ? 」
so i said , " okay . "	我說: 「 噢 !
try to walk right up the hill .	所以 , 這裡 , 不管了 。
that will change everything when we see that .	不管 , 我們也不用了 。
ue: hopefully not .	不管 , 不錯 。
and others were mesmerized .	不管 , 不管的 。
it doesn't animate them .	不錯 , 不管 。
compassion has many faces .	不管 , 不管的 。
so there was no job , no food .	所以 , 不管的是 。
take a look at these example images .	所以 , 一個人 , 很棒 。
it means one who suffers .	不管的 , 很棒的 。
we first began by looking at heart disease .	但 , 一旦 , 我們也有了了 。
but you get the idea , i think .	但 , 我不說 。
and then comes ghosting .	所以 , 不管了 。
it was just all part of my process .	不管的是 , 不管 。
what we see changes who we are .	我們也知道了 。
but he's doing just fine .	但 , 我也知道了 。
they forgot how to do it .	不管 , 不錯 。
it's a colonial animal .	不管的是 。
" you have not let it go . "	你會說: 「 噢 !
this is called " gravity . "	克:: 「 嘿 ! 的 。
i can love escalopes .	我很喜歡了 。
this was done nearly four years ago .	一年 , 一年 , 一一年 。
and they prospered doing that .	不管 , 不管 。
we can turn on the radio .	我們也在這個國家中 。
we actually have the technology and systems .	我們有更大的 。
now let's go over to india .	所以 , 我們有一個人 。
now , he needed accessories .	想想 , 我們也在了 。
let's start with pitch .	所以 , 不管的是 。
what do you think about your movie ?	你怎麼說: 「 什麼 ?
they don't interoperate .	不管的是 , 不錯 。
this is " disappear . "	不說: 「 噢 !
and it's a business for her .	不管 , 很棒 。
you're much too young to help .	不管的是 , 不錯 。
go ahead and roll it .	不管的 , 很棒的 。
so that was a little bit about health .	所以 , 我們也要做了 。
it becomes very portable .	非常簡單的 。
but this is what it looks like .	但 , 不管的 。
so then we broke it down .	所以 , 一旦 , 不管了 。
it's called predeath .	非常棒的 。
and it finally happened , so . . .	這裡 , 很棒的 。
so let's recap .	所以 , 不管的是 。
a lot of models come from science .	不管的是 , 不管的 。
that is my grandfather .	讓我說: 「 嗯 ! 的 。
it's definitely happy .	不管的 。
this is the world that we live in .	不管的是 , 不管的 。
and very , very difficult times .	這樣是 , 不管 。
i guess it's enough .	我不知道 , 不錯 。
they sell off the assets .	不管的是 , 不管的 。
so i do think this is a problem .	我不知道 , 不錯 。
we had some court cases .	但 , 我們也在這個人 。
this is one piece of good news .	不管的是 , 不管的 。
and here we go . here we go .	所以 , 我們就在這個人 。
but your health decisions are the same .	但 , 不管的是 。
but let's try to imagine this .	但 , 不管的是 。
and it took this picture of earth .	這裡 , 我們有一個人 。
audience member 4: two .	所以 , 一年 , 一天 。
audience: yeah , you know me !	說: 「 噢 , 噢 !
are we soaking up that story ?	我們會說: 「 嘿 ? 」
one is the nature of the technology itself .	更簡單的 , 不管的 。
then come convulsions .	所以 , 不管的 。
and then the polishers come .	所以 , 一個人 , 很棒 。
clearly , it always lived there .	這樣是 , 不錯 。
imagine how fiddly that is .	所以 , 不管的是 。
they treated me like i was nothing .	克::我說: 「 噢 !
we call them bastards .	但 , 我們有一個人 。
more data allows us to see new .	更簡單的 , 不管的 。
you succeed or fail quickly .	我們也要做 。
sometimes we just like the perks .	所以 , 不管的是 。
how did we get here ? what happened ?	你會說: 「 什麼 ?
that was the whole earth catalog .	一旦 , 我們有一千個人 。
people thought that was crazy .	不管 , 不管 。
so it's ingesting .	所以 , 不管的是 。
af: absolutely . absolutely .	不管的是 , 不錯 。
vladimir: godot .	克:: 「 嘿 ! 的 。
it's easy to fool ourselves .	不錯 , 不管的 。
you can start painting on any wall .	我們要說: 「 嗯 ! 。
and you know why they have a design ?	你怎麼怎麼做嗎 ?
so why might it be hard to find ?	你怎麼怎麼做什麼 ?
why not you , why not you ? "	你怎麼說: 「 為什麼嗎 ?
it really involves many different areas .	更容易 , 更容易 。
i want to start by doing an experiment .	我說: 「 嗯 。 」
we need to be less predictable .	我們需要更大的 。
