and we'll do that in a second .	我們會再次做第二次 。
don't rub your eyes .	不管你的眼睛 。
so here's the concept .	所以 , 重點是 。
so you get the best of both worlds .	所以 , 世界上最好的國家之一 。
so these are my daughters .	這些是我媽媽的孩子 。
i want to be independent .	我想要成為一個人 。
and i'll read you what it is .	我會告訴你們 , 這是什麼 。
that's what science is telling us .	這就是科學的科學 。
everybody is in a tizzy .	每個人都很熟悉 。
it's a thought . just a thought .	這是個想法 , 只是一個想法 。
i'll give you a couple seconds .	讓我給各位幾個禮拜 。
and really the numbers tell the story .	答案是 , 故事的答案是 。
so what does a climate model look like ?	所以 , 綠色的氣候是什麼 ?
what story is this data telling you ?	重點是 , 人們會告訴你們什麼 ?
so i said , " okay . "	所以我說: 「 好吧 。 」
try to walk right up the hill .	試想一下 , 走上去 。
that will change everything when we see that .	這改變了我們所有人都在改變 。
ue: hopefully not .	克里斯:沒希望的 。
and others were mesmerized .	還有其他其他的藥物 。
it doesn't animate them .	不管他們是誰 。
compassion has many faces .	許多人都很有趣 。
so there was no job , no food .	所以 , 沒有工作 , 沒有任何人 。
take a look at these example images .	看看這個例子 。
it means one who suffers .	意思是 , 誰是誰的 。
we first began by looking at heart disease .	首先 , 我們的心臟病患 。
but you get the idea , i think .	但 , 你認為 , 我覺得這一點 。
and then comes ghosting .	接著 , 拍攝了 。
it was just all part of my process .	這也是我的工作之一 。
what we see changes who we are .	我們看到的改變了我們 。
but he's doing just fine .	但 , 他的確是好的 。
they forgot how to do it .	他們要做些什麼 。
it's a colonial animal .	它是動物的動物 。
" you have not let it go . "	「 你沒辦法 。 」
this is called " gravity . "	這叫做 「 美麗 」 。
i can love escalopes .	我喜歡愛滋病 。
this was done nearly four years ago .	這是四年前的實驗 。
and they prospered doing that .	他們做了工作 。
we can turn on the radio .	我們可以從大氣中轉移 。
we actually have the technology and systems .	我們其實是科技和系統 。
now let's go over to india .	現在我們回到印度 。
now , he needed accessories .	現在 , 他需要幫助 。
let's start with pitch .	咱們開始開始 。
what do you think about your movie ?	你在想什麼 ?
they don't interoperate .	他們沒有關係 。
this is " disappear . "	這是 「 警察 」 。
and it's a business for her .	這也是她的工作 。
you're much too young to help .	你很年輕 , 還能幫助你 。
go ahead and roll it .	走進一邊 , 走上去 。
so that was a little bit about health .	所以這是健康的健康 。
it becomes very portable .	它很強大 。
but this is what it looks like .	但這看起來像這樣 。
so then we broke it down .	所以 , 我們就把它放進了 。
it's called predeath .	它叫做 「 dna 」 。
and it finally happened , so . . .	最後發生了 。
so let's recap .	所以 , 咱們來吧 。
a lot of models come from science .	許多科學領域的科學是科學 。
that is my grandfather .	這就是我的祖父 。
it's definitely happy .	這真的很棒 。
this is the world that we live in .	這是我們生活的世界 。
and very , very difficult times .	很困難 , 很困難 。
i guess it's enough .	我猜它是唯一的 。
they sell off the assets .	他們會拿回家 。
so i do think this is a problem .	所以我覺得這是個問題 。
we had some court cases .	我們有一些專案 。
this is one piece of good news .	這是個新的機會 。
and here we go . here we go .	在這裡 , 我們來看看 。
but your health decisions are the same .	但你的健康是很重要的 。
but let's try to imagine this .	但 , 咱們來想像一下 。
and it took this picture of earth .	而這張照片是地球上 。
audience member 4: two .	觀眾:4 。
audience: yeah , you know me !	觀眾:喔 !
are we soaking up that story ?	我們的故事是故事嗎 ?
one is the nature of the technology itself .	其中一個科技是自然的 。
then come convulsions .	再一次 , 開始了 。
and then the polishers come .	接著 , 警察會變成了 。
clearly , it always lived there .	很明顯地 , 每個人都存在了 。
imagine how fiddly that is .	想像一下 , 什麼是 。
they treated me like i was nothing .	他們告訴我我在做什麼 。
we call them bastards .	我們稱之為 「 月球 」 。
more data allows us to see new .	更多的數據可以讓我們更新科技 。
you succeed or fail quickly .	你成功了 , 不太快了 。
sometimes we just like the perks .	有時候我們會像那樣一樣 。
how did we get here ? what happened ?	我們該怎麼做呢 ?
that was the whole earth catalog .	這是地球上最大的 。
people thought that was crazy .	人們認為它是很酷的 。
so it's ingesting .	所以 , 重點是 。
af: absolutely . absolutely .	沒錯 , 真的很棒 。
vladimir: godot .	布魯斯:嗨 。
it's easy to fool ourselves .	很容易 , 讓它變得更好 。
you can start painting on any wall .	你可以從牆中畫出來 。
and you know why they have a design ?	你知道為什麼他們是設計師嗎 ?
so why might it be hard to find ?	所以 , 為什麼會發生什麼事 ?
why not you , why not you ? "	為什麼你不該這樣呢 ? 」
it really involves many different areas .	它非常有趣 。
i want to start by doing an experiment .	我想先試試試驗 。
we need to be less predictable .	我們需要更多的預測 。
and we only get about 10 percent .	而我們只有10% 。
we do all kinds of things .	我們都做些事情 。
and without the humor .	沒有人 , 沒有人 。
it will take all of you . "	它會給你所有人 。 」
now it had a sense of place .	現在 , 很有趣 。
it is growing all around us .	它在我們的社區中 。
i said , " ok . "	我說: 「 喔 。 」
but i did much more than that .	但是 , 我還沒有更多 。
pick up the phone and dial .	用手機和手機 。
it is why i look to art .	這就是為什麼我喜歡藝術 。
imagine that orchestration .	想像一下 。
any of you play video games ?	你有玩遊戲嗎 ?
can you guess for what ?	你能知道嗎 ?
but she knows where he is .	但她知道她是誰 。
language can't math me .	語言並不代表我 。
zabalaza .	阿拉伯 。
so this story stayed with me .	所以這個故事讓我很興奮 。
no , these legs are great .	沒錯 , 真的很棒 。
people are the only thing we have .	每個人都是唯一的 。
people got a little too creative .	有人有很棒的機會 。
you stay away from design for development .	你從來沒有創新的計畫 。
i suspect the latter .	我希望這張照片 。
have a great session .	一個很棒的機會 。
but we've been there before .	但現在我們已經在過去了 。
it's a wonder in itself .	它是真實的 。
it's like a drug deal .	像藥物一樣 。
hers is more into boys .	她的男孩們會更好 。
we didn't have any hope .	我們都沒有希望 。
it is a biological computer .	它是生物學 。
have you ever had any diseases ?	你有許多疾病嗎 ?
and they turn up the lights .	而它們的光線是光線 。
so , how much would this cost ?	所以 , 該怎麼做呢 ?
none of these is actually real .	並非如此 。
and this is a war on information .	這是個關於的資訊 。
audience: what are you reading ?	觀眾:你在做什麼 ?
