and we'll do that in a second .	我們必須再次做一次 。
don't rub your eyes .	別忘記你 。
so here's the concept .	所以 , 這裡 , 這裡的一部分 。
so you get the best of both worlds .	所以 , 世界各地世界各地 。
so these are my daughters .	這些是我的女兒 。
i want to be independent .	我想要讓別人的身份 。
and i'll read you what it is .	我會告訴你們什麼 。
that's what science is telling us .	這就是科學科學 。
everybody is in a tizzy .	每個人都都知道 。
it's a thought . just a thought .	它是個想法 。
i'll give you a couple seconds .	我會告訴你們兩個數字 。
and really the numbers tell the story .	重點是 , 世界各地的故事 。
so what does a climate model look like ?	所以 , 到底是什麼樣子呢 ?
what story is this data telling you ?	答案是 , 人們會告訴你什麼 ?
so i said , " okay . "	所以我說: 「 好吧 ! 」
try to walk right up the hill .	要讓大家走進去 , 去吧 。
that will change everything when we see that .	它改變了我們所看到的一切 。
ue: hopefully not .	克里斯:嗯 , 不希望 。
and others were mesmerized .	另一方面 , 和我一樣 。
it doesn't animate them .	沒有人可以做到 。
compassion has many faces .	許多人都很驚訝 。
so there was no job , no food .	所以 , 沒有食物 , 沒有食物 。
take a look at these example images .	看看這張圖片 。
it means one who suffers .	意思是 , 有人會說話 。
we first began by looking at heart disease .	首先 , 我們發現了血管 。
but you get the idea , i think .	但是你會說 , 我覺得這樣 。
and then comes ghosting .	接著 , 再來了 。
it was just all part of my process .	這一切都是我所做的 。
what we see changes who we are .	我們看到了什麼改變 。
but he's doing just fine .	但他還需要做些事 。
they forgot how to do it .	他們會做些什麼事 。
it's a colonial animal .	它是種類動物 。
" you have not let it go . "	「 沒錯 ! 」
this is called " gravity . "	這叫做 「 美麗 」 。
i can love escalopes .	我可以用顏色 。
this was done nearly four years ago .	這三年前 , 三年前 。
and they prospered doing that .	而且他們開始做些事 。
we can turn on the radio .	我們會把這張圖片放在一起 。
we actually have the technology and systems .	我們也發明了經濟系統 。
now let's go over to india .	現在 , 我們回到印度 。
now , he needed accessories .	現在 , 他需要做些什麼 。
let's start with pitch .	咱們來談一下 。
what do you think about your movie ?	你想知道什麼 ?
they don't interoperate .	他們不在乎 。
this is " disappear . "	「 這真是不可思議的 。 」
and it's a business for her .	這是她的工作 。
you're much too young to help .	你的年輕人都很高興 。
go ahead and roll it .	走進去 , 去吧 。
so that was a little bit about health .	所以 , 這裡有更多的健康 。
it becomes very portable .	它變得更強大 。
but this is what it looks like .	但這張圖看起來像這樣 。
so then we broke it down .	接著 , 我們就開始了 。
it's called predeath .	它叫做 「 蛋白質 」 。
and it finally happened , so . . .	最後 , 最後一次 , 發生了 。
so let's recap .	咱們們 , 再來吧 。
a lot of models come from science .	許多科學領域都開始了 。
that is my grandfather .	這就是我的祖父 。
it's definitely happy .	真的很棒 。
this is the world that we live in .	這就是我們的世界 。
and very , very difficult times .	很幸運 。
i guess it's enough .	我猜猜 , 什麼都不夠 。
they sell off the assets .	他們把它們放在水裡 。
so i do think this is a problem .	所以 , 我想 , 解決這個問題 。
we had some court cases .	我們有一些方法 。
this is one piece of good news .	這是一個新的新項目 。
and here we go . here we go .	現在 , 我們來這裡 。
but your health decisions are the same .	但你的健康是如何運作的 。
but let's try to imagine this .	但是 , 讓我們想看看這一點 。
and it took this picture of earth .	這張圖顯示了這張照片 。
audience member 4: two .	觀眾說: 「 喔 , 喔 ! 喔 !
audience: yeah , you know me !	觀眾:你說: 「 好吧 !
are we soaking up that story ?	我們在故事中看到了什麼事 ?
one is the nature of the technology itself .	首先是全球化的 。
then come convulsions .	接著 , 再次了 。
and then the polishers come .	接著 , 位置 。
clearly , it always lived there .	很明顯地 , 一切都不一樣 。
imagine how fiddly that is .	想像一下 , 什麼是 。
they treated me like i was nothing .	他們告訴我 , 我的身體 , 不是我 。
we call them bastards .	我們稱之為 「 蛋白質 」 。
more data allows us to see new .	更多的數據會讓我們更加快 。
you succeed or fail quickly .	你還沒錯 , 沒錯 。
sometimes we just like the perks .	有時候 , 我們會看到什麼 。
how did we get here ? what happened ?	我們到底怎麼做 ? 到底是什麼 ?
that was the whole earth catalog .	這是地球上的地球 。
people thought that was crazy .	人們知道 , 人工智慧是很棒的 。
so it's ingesting .	所以 , 真的很棒 。
af: absolutely . absolutely .	克里斯:嗯 , 很明顯 。
vladimir: godot .	愛鸚斯坦:哈囉 。
it's easy to fool ourselves .	它會讓我們更好 。
you can start painting on any wall .	你可以從牆上看出來 。
and you know why they have a design ?	你知道為什麼他們知道這是什麼 ?
so why might it be hard to find ?	所以 , 為什麼這會發生什麼事 ?
why not you , why not you ? "	你為什麼你為什麼你不知道 ? 」
it really involves many different areas .	它非常不同 。
i want to start by doing an experiment .	我想要去做一些實驗 。
we need to be less predictable .	我們需要更多的答案 。
and we only get about 10 percent .	我們只需要百分之九 。
we do all kinds of things .	我們都做些事情 。
and without the humor .	沒有任何人 。
it will take all of you . "	它會給你 。 」
now it had a sense of place .	現在 , 這裡有多樣性 。
it is growing all around us .	它成長了我們的生活 。
i said , " ok . "	我說: 「 好吧 。 」
but i did much more than that .	但我真的很快 。
pick up the phone and dial .	把手機放在手機裡 。
it is why i look to art .	這就是為什麼我喜歡藝術家 。
imagine that orchestration .	想像一下 。
any of you play video games ?	你都在玩樂玩遊戲嗎 ?
can you guess for what ?	你能猜猜嗎 ?
but she knows where he is .	但他知道他是誰 。
language can't math me .	「 語言 」 的語言 。
zabalaza .	亞馬遜 。
so this story stayed with me .	所以 , 這故事讓我的故事 。
no , these legs are great .	沒錯 , 沒有人 。
people are the only thing we have .	每個人都知道我們是誰 。
people got a little too creative .	人們有很棒的機會 。
you stay away from design for development .	你在工作中工作 。
i suspect the latter .	我會說 , 黑猩猩 。
have a great session .	有一個很棒的一部分 。
but we've been there before .	但現在我們已經有過了 。
it's a wonder in itself .	它是很棒的 。
it's like a drug deal .	它就像這樣 。
hers is more into boys .	她的女兒們 。
we didn't have any hope .	我們沒有任何人 。
it is a biological computer .	它是生物學家 。
have you ever had any diseases ?	你有多少人嗎 ?
and they turn up the lights .	然後他們會說 , 光線是燈光 。
so , how much would this cost ?	那麼 , 到底會有多少 ?
none of these is actually real .	沒有人知道這一切 。
and this is a war on information .	這一切都發生了 。
audience: what are you reading ?	觀眾:你說什麼 ?
yes , sneakers .	嗯 , 喔 , 喔 , 喔 !
and i'll close it there .	我會再看到這一點 。
these are the uavs .	這些都是我們所謂的 。
paper has some downsides .	一片紙 , 有些紙 。
so who gets to do it ?	所以 , 誰會做些什麼 ?
we can't scale .	我們不可思議 。
they really influence people .	牠們很擅長 。
this is a straight line .	這是個大型的一部分 。
but look what we just did today .	但看看我們現在的未來 。
iran is doing that right now .	現在 , 今日是 , 我們現在要做的事 。
but he had a gift .	但他有一天 。
but i'm still curious .	但是我仍然很擅長 。
i'm serious .	我很幸運 。
and we need collusion .	我們需要教育 。
that's the issue , right ?	這是個問題 , 對吧 ?
kòp kun ka .	克里斯·安德森 。
but perhaps familiar ?	但 , 可能是嗎 ?
in change and development and growth .	隨著改變 , 改變 , 成長 , 成長 。
they mean it and they believe it .	他們的意思是 , 他們相信他們 。
and a light went on for me .	把我帶到我的眼睛 。
what does it mean to be normal ?	它會發生什麼事呢 ?
it's just hard on everybody .	這一切都不一樣 。
or take another example: big data .	舉例來說 , 另一個例子 。
after that , the sex is easy .	換句話說 , 很簡單 。
but , how exactly does this happen ?	但是 , 到底如何發生什麼 ?
we were growing as a team .	我們成長了一群人 。
where did you leave my keys ?	你要問我什麼 ?
and you know what i found out ?	你知道嗎 ?
and he did not want to pay .	他不想做些錢 。
we have not learned every single rule .	我們沒有任何人都在做些什麼 。
apps and hardware .	做法 , 不可思議 。
and this sometimes went on for hours .	有時候 , 每個月都會發生 。
it takes our collective will .	它把我們帶給我們 。
jm: yes , exactly .	克里斯:嗯 , 是吧 。
seven to two , they ruled .	第四 , 二 , 二 。
more abstract .	更高興 。
so what happened to emma ?	所以 , 發生什麼事呢 ?
this is a robot , autom .	這是機器人 , 機器人 。
start by doing no harm .	首先 , 沒有任何人 。
am i that charming ?	我是怎麼辦 ?
and that was some outreach .	有些事情都發生了 。
the environment changed very slowly .	環境改變了 , 改變了 。
we're not talking .	我們不是說話 。
what’s going on here ?	那麼 , 到底是什麼呢 ?
afghanistan .	亞馬遜 。
can you spot the difference ?	你能否認出任何不同嗎 ?
you already have everything you need .	你需要的所有東西都能做到 。
this is a big joke .	這是個很棒的 。
and we want to dream big .	我們希望夢想的夢想 。
how are these people standing ?	這些人會怎麼辦 ?
but i do think you can .	但我希望你們能做到 。
these were the bad projects .	這些是很棒的 。
it was a wonderful experience .	它是個很棒的經驗 。
and worse . . .	嗯 , 喔 , 等等 。
we have to deal with it .	我們必須做些什麼 。
and maybe that's true .	或許 , 這可能是如此 。
but they were not teaching .	但他們不是老師 。
the network is redundant .	網路網際網路 。
i love people with any disease .	我愛上任何人 。
sg: well done !	克里斯:嗯 ! 喔 !
there's a better way .	更好 , 更好 。
so it's the data .	所以 , 數據顯示了數據 。
i certainly wasn't .	我不是說 , 不是這樣 。
it gave me courage .	它給予了我 。
the idea matters a lot .	真正的挑戰是如此 。
how much could we pay you ?	我們需要多少錢 ?
there are things they care about .	有些事情都發生了 。
makes us look really young .	讓孩子們變得更美好 。
let's play a game .	咱們來玩遊戲 。
these are now two years out .	這是過去的幾年 。
" oh , my god ! "	「 喔 ! 喔 ! 喔 ! 」
so what to do about it ?	所以 , 要怎麼做 ?
surely , we know enough .	當然 , 我們知道 。
but had it ever existed ?	但這一切都發生了嗎 ?
so how do we get there ?	那麼 , 我們要怎麼做 ?
we're born for them .	我們生活了 。
25 years it took .	大約25年 。
however , bad things happen .	然而 , 到底發生了什麼事 。
why is 25 percent important ?	為什麼25% ?
but then they often wait there .	但 , 牠們仍然會等待 。
i got another chapter .	我有另一種事情 。
this is five times larger .	這裡有三分之一 。
nothing worked until i found this .	不久之後 , 我發現了 。
now , testing is important .	現在 , 解決這個問題 。
ca: so help us understand .	克里斯:嗯 , 幫助我們了解 。
you say , you know what ?	你說: 「 你們知道嗎 ?
well , it is the future .	嗯 , 未來 , 未來的未來 。
here's the first example .	這是第一個例子 。
she is 15 years old .	她是十八歲 。
it's a reality now .	它是真實的 。
now it's gone .	現在 , 這裡有一天 。
dp: wow .	克里斯:嗯 , 哇 !
but why can't they ?	但 , 為什麼他們不能做到 ?
so the idea was pretty simple .	所以這個想法是簡單的 。
this is faith .	這張圖片 。
jack of spades .	很糟糕 。
how can we be so sure ?	我們該如何做些什麼 ?
because this is where we are .	因為這是我們所做的 。
no other country can do that .	甚至沒有其他國家 。
we do have to protect them .	我們必須保護他們 。
we love making patterns too .	我們真的很喜歡它 。
enter the twist .	下一個國家 。
so how do you do that ?	所以 , 你如何做些什麼 ?
and that's not me .	這不是我所說的 。
and you are correct .	而你是你所謂的 。
and i'm a mother .	我是媽媽媽媽 。
i was lucky .	我很幸運 。
and so what do we do ?	所以 , 我們如何做到什麼 ?
how would you go about it ?	你要怎麼做 ?
here's an early computer .	這是電腦的一部分 。
so you get something like this .	所以 , 你會這樣做些什麼 。
and time to land .	再一次 , 開始了 。
lt: right .	克里斯:嗯 。
one's a fish .	其中一個魚 。
or step out of it .	或者 , 來做些什麼 。
thank you . thank you .	非常謝謝你 。
they are not trusted .	他們不相信他們 。
that was the family business .	那是個家庭的家 。
it will get to you .	它會讓你更好 。
audience: ooh !	觀眾:喔 ! 喔 !
just think for a moment .	想像一下這一點 。
they have always been wrong .	他們都沒錯過 。
thank you very much .	非常謝謝 。
we didn't eat .	我們沒有食物 。
so how does that work ?	所以 , 到底如何運作 ?
thank you , yeah .	非常謝謝你 。
that's real time .	這真是很棒的 。
i am angry .	我是很棒的 。
buy african products .	食物是綠色 。
thank you . thank you .	非常謝謝你 。
but we don't .	但 , 我們不用擔心 。
not only in humans .	不僅僅僅僅僅僅僅僅僅僅僅僅是人類 。
so it does that well .	所以 , 它是如此 。
she couldn't answer .	她不需要回答 。
thank you , thank you .	非常謝謝你 。
thank you . thank you .	非常謝謝你 。
and that question is this .	這問題是 , 這個問題 。
then i made a book .	接著 , 我開始寫書 。
js: no .	克里斯:嗯 , 沒錯 。
thank you very much .	非常謝謝 。
we don't know .	我們不知道 。
thank you very much .	非常謝謝 。
what if i could have ?	如果我能做些什麼 ?
that social life is important .	社會的社會是很重要的 。
these changes are coming .	這些改變改變了 。
how does all this work ?	到底如何運作呢 ?
chad , 2 percent .	例如 , 百分之二 。
this caused her pain .	這種痛苦的痛苦 。
two words: pay up .	第二個字: 「 別 」 。
what would it look like ?	它會怎麼樣呢 ?
but both things were happening .	但這一切都發生了 。
and it worked , too .	這樣 , 做得更好 。
technology can do the same .	科技科技可以做到 。
but there is another point .	但還有另一種事情 。
thank you very much .	非常謝謝 。
what are other causes ?	什麼是 , 什麼呢 ?
you should have been there !	你必須知道 , 什麼都不夠 。
" i know that . "	「 我知道 , 我知道 。 」
for what is a man ?	那麼 , 誰是誰 ?
and this is what happened .	這一切都發生了 。
it had to be done .	它需要做些事 。
he disagreed .	他很驚訝 。
raise your hand .	請你的手臂 。
mb: no .	克里斯:嗯 , 沒錯 。
today , i use it .	今年 , 我是這樣 。
turns out , nothing .	結果是 , 一切都沒有 。
and i saw a sign .	我看到這張圖片 。
this happens to us .	這會發生什麼事 。
don't they ?	不論他們是誰 ?
they set people off .	他們把他們帶給他們 。
how do we create ?	我們如何做到什麼 ?
everything goes into it .	一切都發生了 。
can you do that ?	你能做些什麼 ?
or should they not ?	或者 , 誰會否呢 ?
so it could happen .	所以 , 它會發生 。
how do you know ?	你如何知道什麼 ?
this is the size .	這很棒 。
said i could help .	說: 「 嗯 , 我希望我能做到 。
but it works !	但這一切都很棒 。
goes on from there .	再一次 。
we stand with them .	我們把它們放在一起 。
can you see it ?	你可以看到這張圖片嗎 ?
do you sense them ?	你覺得他們是怎樣的 ?
so , yeah .	所以 , 嗯 , 嗯 , 嗯 。
it was painful .	它是很痛苦的 。
now some hair .	現在 , 這裡有一天 。
but something interesting happened .	但有趣的事發生了很多事 。
let's not .	咱們 , 我們也不會 。
and then , this .	接著 , 這樣 , 這樣 。
what does that mean ?	這意味著什麼呢 ?
listen to it again .	聽起來聽起來 。
this is not new .	這不是新的新科技 。
it became the media .	它是媒體媒體 。
it's cool .	真的很棒 。
