and we'll do that in a second .	接下來 , 我們會做些什麼事 。
don't rub your eyes .	不管你不喜歡你的眼睛 。
so here's the concept .	這裡 , 這裡是很棒的 。
so you get the best of both worlds .	所以 , 世界上最好的國家 。
so these are my daughters .	這是我媽媽媽媽媽媽 。
i want to be independent .	我想要讓大家談談 。
and i'll read you what it is .	我會告訴你們 , 嗯 , 嗯 , 沒錯 。
that's what science is telling us .	這是科學科學的科學 。
everybody is in a tizzy .	很多人都知道 , 愛滋病 。
it's a thought . just a thought .	這真是令人興奮的 。
i'll give you a couple seconds .	我會告訴你第二個例子 。
and really the numbers tell the story .	重點是 , 故事是最好的故事 。
so what does a climate model look like ?	所以 , 這裡的生物是什麼樣子嗎 ?
what story is this data telling you ?	答案是 , 科學家們知道嗎 ?
so i said , " okay . "	我說: 「 嗯 , 啊 ! 」
try to walk right up the hill .	再一次 , 走進車子 。
that will change everything when we see that .	這樣改變了 , 改變了我們 。
ue: hopefully not .	克里斯:謝謝謝謝 。
and others were mesmerized .	另一方面 , 我在乎的 。
it doesn't animate them .	不管他們不喜歡他們 。
compassion has many faces .	許多人都很熟悉 。
so there was no job , no food .	沒有人 , 沒有人 , 沒有人 。
take a look at these example images .	看看這張圖片的圖片 。
it means one who suffers .	這也表示 , 美國人工智慧 。
we first began by looking at heart disease .	首先 , 我們的腦臟心臟病 。
but you get the idea , i think .	但你也想 , 嗯 , 嗯 , 嗯 , 嗯 , 嗯 。
and then comes ghosting .	最後 , 大家會做些事 。
it was just all part of my process .	這是我所知的 。
what we see changes who we are .	我們所看到的 , 改變了我們自己 。
but he's doing just fine .	但他也沒辦法做的事 。
they forgot how to do it .	他們想要做些什麼事 。
it's a colonial animal .	這是個大型的動物 。
" you have not let it go . "	「 沒什麼 , 不管你 。 」
this is called " gravity . "	這是一種叫做 「 無線 」 。
i can love escalopes .	我不喜歡愛滋病 。
this was done nearly four years ago .	這是過去幾年的歷史 。
and they prospered doing that .	他們做了他們的工作 。
we can turn on the radio .	我們能把它的溫度轉變 。
we actually have the technology and systems .	我們的科技是科技的系統 。
now let's go over to india .	現在 , 咱們 , 咱們 。
now , he needed accessories .	現在 , 他必須做得更好 。
let's start with pitch .	咱們 , 咱們們 。
what do you think about your movie ?	你現在在想什麼樣子 ?
they don't interoperate .	沒有人工智慧 。
this is " disappear . "	這句話是: 「 不可怕的 。 」
and it's a business for her .	這是她所需的 。
you're much too young to help .	不論你是誰 。
go ahead and roll it .	下車 , 車子 , 不好 。
so that was a little bit about health .	這裡是最健康的癌症 。
it becomes very portable .	這真的是很棒的 。
but this is what it looks like .	但這張圖像這樣 。
so then we broke it down .	所以 , 我們走上去 , 再次 。
it's called predeath .	它叫做 「 大麻煩 」 。
and it finally happened , so . . .	最後 , 最後 , 沒錯 。
so let's recap .	咱們 , 咱們 , 來吧 !
a lot of models come from science .	許多生物學家都很興奮 。
that is my grandfather .	這是我媽媽媽媽 。
it's definitely happy .	這真是很棒的 。
this is the world that we live in .	這是我們在地球上最好的 。
and very , very difficult times .	很幸運的是 , 發生了 。
i guess it's enough .	我覺得 , 這真的很容易 。
they sell off the assets .	他們用了一台車子 。
so i do think this is a problem .	所以 , 我知道這是個問題 。
we had some court cases .	我們有許多人都知道 。
this is one piece of good news .	這是個很棒的例子 。
and here we go . here we go .	這裡 , 我們現在正在做的事 。
but your health decisions are the same .	但你的健康是你的健康 。
but let's try to imagine this .	咱們來看看這張照片 。
and it took this picture of earth .	這張圖像 , 這裡是地球的 。
audience member 4: two .	觀眾說: 「 四分之二 。 」
audience: yeah , you know me !	觀眾說: 「 啊 , 啊 , 啊 !
are we soaking up that story ?	我們現在在想: 「 真的是怎麼樣 ? 」
one is the nature of the technology itself .	其中一個科技是自然的 。
then come convulsions .	再次 , 不論是不錯的 。
and then the polishers come .	後來 , 人工智慧 。
clearly , it always lived there .	不幸的是 , 人都不過 。
imagine how fiddly that is .	想像一下 , 這裡是怎麼樣的 。
they treated me like i was nothing .	他們告訴我我不喜歡我 , 我不知道我 。
we call them bastards .	我們稱之為 「 無線 」 。
more data allows us to see new .	每次我們可以用電腦的方式來做 。
you succeed or fail quickly .	不久 , 你的睡眠會更快 。
