and we'll do that in a second .	我們在這裡的一件事 。
don't rub your eyes .	不管你不太好 。
so here's the concept .	所以 , 這裡的一部分 。
so you get the best of both worlds .	想像一下一件事 。
so these are my daughters .	所以 , 我在我家中 , 很糟糕 。
i want to be independent .	我知道這就是我們所做的 。
and i'll read you what it is .	我說: 「 嗯 , 來吧 !
that's what science is telling us .	這是我們的故事 。
everybody is in a tizzy .	人們說的 , 很棒的 。
it's a thought . just a thought .	很棒的是 。
i'll give you a couple seconds .	我想看看這張照片 。
and really the numbers tell the story .	這是個故事的例子 。
so what does a climate model look like ?	所以 , 地球上 , 到底是什麼樣子 ?
what story is this data telling you ?	問題是 , 我們要做什麼事 ?
so i said , " okay . "	我說: 「 喔 , 喔 !
try to walk right up the hill .	想像一下一件事 。
that will change everything when we see that .	這樣 , 我們需要改變我們 。
ue: hopefully not .	答案: , 這真是很好的 。
and others were mesmerized .	不管 , 我是最棒的 。
it doesn't animate them .	不管是不可怕的 。
compassion has many faces .	許多人都很好 。
so there was no job , no food .	所以 , 沒有人 , 沒有任何人 。
take a look at these example images .	看看這張照片 。
it means one who suffers .	不管是 , 孩子們是誰的 。
we first began by looking at heart disease .	首先 , 研究者 , 叫做 「 癌症 」 。
but you get the idea , i think .	但如果我知道 , 我知道這件事 。
and then comes ghosting .	所以 , 一旦他 。
it was just all part of my process .	這是我所謂的 。
what we see changes who we are .	我們需要改變我們 。
but he's doing just fine .	但 , 即使 , 一個人都很好 。
they forgot how to do it .	他們會做些事情 。
it's a colonial animal .	它是非常大的 。
" you have not let it go . "	「 不錯 。 」
this is called " gravity . "	這是 "  " 的 "  " 的 "  " 。
i can love escalopes .	我不喜歡它 。
this was done nearly four years ago .	這是198年 ,
and they prospered doing that .	他們的孩子都很好 。
we can turn on the radio .	我們都能做這個東西 。
we actually have the technology and systems .	我們需要改變的資料 。
now let's go over to india .	現在 , 今天我們在198年 。
now , he needed accessories .	所以 , 他們有機會 。
let's start with pitch .	咱上 , 咱們 。
what do you think about your movie ?	你想問你 , 你是誰嗎 ?
they don't interoperate .	他們不需要 。
this is " disappear . "	這是 「 愛 」 的 。
and it's a business for her .	這是我所謂的 。
you're much too young to help .	你知道 , 他們的孩子都沒有人 。
go ahead and roll it .	下面 , 來吧 。
so that was a little bit about health .	所以 , 不管是最大的國家 。
it becomes very portable .	牠們是很大的 。
but this is what it looks like .	但這就是這張照片 。
so then we broke it down .	所以 , 我們看到了 。
